dataproviderid,occurrenceid,measurementid,measurementtype,measurementvalue,measurementaccuracy,measurementunit,measurementdetermineddate,measurementdeterminedby,measurementmethod,measurementremarks
1076,OBSVLFR_HistoricalPointB_RG-452,19539,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-453,19540,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-603,19633,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-753,19593,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-754,19594,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_05_10RG-9590,28595,abundance,0.108705,,"Individual/m^3.  Number of Fishery by week: 5",,,,2005Larv
1076,OBSVLFR_HistoricalPointB_RG-604,19634,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-454,19541,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-455,19542,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-605,19635,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-755,19595,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-756,19644,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-606,19571,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-456,19543,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-523,19554,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-673,19584,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-823,19678,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-1123,19515,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-824,19646,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-674,19641,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-524,19555,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-525,19556,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-675,19642,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-825,19647,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-826,19648,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-676,19585,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-526,19557,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-527,19558,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-677,19443,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-827,19603,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-828,19604,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-678,19444,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-528,19559,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-595,19565,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-745,19586,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-895,19679,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-1045,19612,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-1195,19659,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-1196,19620,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-1046,19613,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-896,19680,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-746,19587,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-596,19566,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-597,19567,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-747,19588,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-897,19681,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-1047,19614,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-1197,19621,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-1198,19518,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-1048,19495,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-898,19682,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-748,19589,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-598,19568,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-599,19569,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-749,19590,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-899,19683,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-1199,19519,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-900,19684,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-750,19643,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-600,19570,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-655,19440,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-505,19548,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
1076,OBSVLFR_HistoricalPointB_RG-355,19624,abundance,,,Ind./100m^3,,,"This data set correspond to abundance classes of individual at 6 differents depths (10m, 20m, 30m, 40m, 50m and 60m); that means 0 = 0, 1 = [0.5 ; 2], 2 = [2 ; 10], 3 = [10 ; 20], 4 > 20",1994Cnid
